"cole_depto_ubicacion","fami_estratovivienda","fami_personashogar","fami_tieneautomovil","fami_tienecomputador","fami_tieneinternet","fami_tienelavadora","punt_global"
"VALLE","Estrato 4","7 a 8","Si","No","Si","Si","319"
"VALLE","Estrato 4","1 a 2","Si","Si","Si","Si","262"
"VALLE","Estrato 4","1 a 2","Si","Si","Si","Si","312"
"BOGOTÁ","Estrato 3","3 a 4","Si","Si","Si","Si","218"
"BOGOTÁ","Estrato 3","3 a 4","No","No","No","Si","242"
"VALLE","Estrato 3","7 a 8","No","Si","Si","Si","349"
"RISARALDA","Estrato 4","3 a 4","Si","Si","Si","Si","409"
"BOGOTÁ","Estrato 5","5 a 6","Si","Si","Si","Si","354"
"VALLE","Estrato 4","5 a 6","Si","No","Si","Si","292"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","367"
"VALLE","Estrato 2","5 a 6","Si","Si","Si","Si","264"
"VALLE","Estrato 2","5 a 6","Si","Si","Si","Si","189"
"ATLANTICO","Estrato 5","3 a 4","Si","Si","Si","Si","362"
"ANTIOQUIA","Estrato 4","3 a 4","Si","Si","Si","Si","377"
"VALLE","Estrato 2","5 a 6","No","Si","Si","No","225"
"VALLE","Estrato 4","7 a 8","No","Si","Si","Si","203"
"VALLE","Estrato 3","3 a 4","No","Si","Si","Si","256"
"CAUCA","Estrato 2","3 a 4","Si","Si","Si","Si","237"
"NARIÑO","Sin Estrato","5 a 6","Si","Si","Si","Si","339"
"VALLE","Estrato 4","3 a 4","Si","Si","Si","Si","316"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","280"
"CUNDINAMARCA","Estrato 3","5 a 6","No","No","Si","Si","276"
"BOGOTÁ","Estrato 3","3 a 4","No","Si","Si","Si","264"
"VALLE","Estrato 3","3 a 4","No","Si","Si","Si","362"
"VALLE","Estrato 2","3 a 4","No","Si","Si","No","286"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","324"
"CALDAS","Estrato 6","3 a 4","Si","Si","Si","Si","277"
"BOGOTÁ","Estrato 4","3 a 4","No","No","Si","No","185"
"VALLE","Estrato 4","1 a 2","Si","No","Si","Si","232"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","300"
"SANTANDER","Estrato 1","5 a 6","No","No","Si","Si","235"
"ANTIOQUIA","Estrato 6","3 a 4","Si","Si","Si","Si","244"
"BOGOTÁ","Estrato 5","5 a 6","Si","Si","Si","Si","327"
"VALLE","Estrato 2","5 a 6","Si","Si","Si","Si","225"
"LA GUAJIRA","Estrato 3","5 a 6","No","Si","Si","Si","213"
"CUNDINAMARCA","Sin Estrato","3 a 4","Si","Si","Si","Si","326"
"NARIÑO","Estrato 1","5 a 6","Si","No","No","No","191"
"ATLANTICO","Estrato 6","3 a 4","Si","Si","Si","Si","328"
"CUNDINAMARCA","Estrato 4","5 a 6","Si","Si","Si","Si","267"
"BOGOTÁ","Estrato 3","3 a 4","No","Si","Si","Si","325"
"ATLANTICO","Estrato 5","3 a 4","Si","Si","Si","Si","288"
"VALLE","Estrato 4","3 a 4","No","Si","Si","Si","275"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","333"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","251"
"BOGOTÁ","Estrato 4","3 a 4","Si","Si","Si","Si","276"
"SANTANDER","Estrato 2","3 a 4","No","No","Si","Si","222"
"NARIÑO","Estrato 4","3 a 4","Si","Si","Si","Si","364"
"BOGOTÁ","Estrato 5","1 a 2","No","Si","Si","Si","346"
"VALLE","Estrato 2","1 a 2","Si","Si","No","Si","265"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","303"
"CUNDINAMARCA","Estrato 2","3 a 4","Si","Si","Si","Si","215"
"VALLE","Estrato 4","3 a 4","Si","Si","Si","Si","293"
"BOGOTÁ","Estrato 5","1 a 2","Si","Si","Si","Si","390"
"BOGOTÁ","Estrato 3","1 a 2","No","No","Si","No","219"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","285"
"CUNDINAMARCA","Estrato 2","1 a 2","No","Si","Si","Si","261"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","231"
"VALLE","Estrato 1","3 a 4","No","No","Si","Si","276"
"CUNDINAMARCA","Estrato 3","3 a 4","Si","Si","Si","Si","296"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","362"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","280"
"BOGOTÁ","Estrato 3","3 a 4","Si","Si","Si","Si","258"
"CUNDINAMARCA","Estrato 3","3 a 4","No","Si","Si","Si","238"
"META","Estrato 1","1 a 2","No","Si","Si","Si","174"
"BOGOTÁ","Estrato 2","5 a 6","No","Si","Si","Si","230"
"BOGOTÁ","Estrato 4","3 a 4","Si","Si","Si","Si","285"
"BOLIVAR","Estrato 6","3 a 4","Si","Si","Si","Si","353"
"VALLE","Estrato 3","5 a 6","No","Si","Si","Si","297"
"BOYACA","Estrato 3","3 a 4","Si","Si","Si","Si","262"
"ATLANTICO","Estrato 2","3 a 4","No","Si","Si","Si","301"
"BOGOTÁ","Estrato 1","3 a 4","No","No","No","No","220"
"ANTIOQUIA","Estrato 6","3 a 4","Si","Si","Si","Si","342"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","384"
"BOGOTÁ","Estrato 2","3 a 4","No","No","Si","No","274"
"CALDAS","Estrato 5","9 o más","No","Si","Si","Si","410"
"VALLE","Estrato 3","5 a 6","Si","Si","Si","Si","285"
"BOGOTÁ","Estrato 6","1 a 2","Si","Si","Si","Si","330"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","403"
"CAUCA","Estrato 4","5 a 6","Si","Si","Si","Si","424"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","339"
"BOGOTÁ","Estrato 4","3 a 4","No","Si","Si","Si","361"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","282"
"RISARALDA","Estrato 4","3 a 4","Si","Si","Si","Si","255"
"BOGOTÁ","Estrato 1","3 a 4","Si","Si","Si","Si","262"
"SANTANDER","Estrato 6","3 a 4","Si","Si","Si","Si","330"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","275"
"VALLE","Estrato 2","1 a 2","No","Si","Si","Si","305"
"RISARALDA","Estrato 5","3 a 4","Si","Si","Si","Si","307"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","375"
"BOGOTÁ","Estrato 4","3 a 4","Si","Si","Si","Si","329"
"BOGOTÁ","Estrato 4","3 a 4","Si","Si","Si","Si","320"
"VALLE","Estrato 4","3 a 4","Si","Si","Si","No","207"
"VALLE","Estrato 3","3 a 4","No","No","Si","Si","250"
"BOGOTÁ","Estrato 3","3 a 4","Si","Si","Si","Si","258"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","331"
